158,237,0
374,4,0
477,40,4
136,266,0
259,119,4
249,152,4
76,406,0
490,2,4
160,108,0
346,124,0
52,227,1
213,450,4
257,62,4
279,415,0
320,257,4
76,218,0
496,72,0
175,182,4
369,404,0
447,252,0
242,143,4
139,247,4
444,6,0
69,417,0
20,428,0
281,78,4
373,168,4
250,472,4
179,169,4
404,116,0
313,175,4
308,172,4
420,8,0
460,58,0
376,18,0
319,327,0
199,334,4
106,262,0
443,116,4
275,334,0
295,259,0
508,16,4
59,200,1
405,255,4
12,493,4
284,269,0
267,482,4
169,274,0
426,209,0
134,110,0
31,414,0
219,270,4
427,71,0
116,261,4
60,218,1
493,130,4
466,272,0
198,130,0
497,379,0
49,294,1
407,139,0
413,130,0
360,213,0
389,183,0
275,285,4
500,317,0
126,272,4
334,332,4
99,274,0
161,8,0
2,479,4
486,6,4
438,291,0
325,343,0
104,303,0
464,306,0
27,398,0
356,234,0
114,59,4
507,310,0
368,47,0
342,459,0
259,277,0
74,273,0
303,476,0
225,486,0
42,223,0
224,9,0
191,66,0
327,383,0
464,351,0
471,124,1
453,336,0
79,499,4
166,357,0
506,280,4
112,275,0
26,440,0
419,139,0
505,467,4
227,215,0
325,4,0
213,318,4
362,408,0
240,269,4
402,86,0
202,200,0
164,174,0
351,416,4
434,20,0
168,6,0
232,355,0
212,205,0
415,460,0
264,246,0
505,452,4
392,44,1
210,7,0
507,442,4
44,411,0
426,112,0
154,22,0
286,281,0
353,114,0
356,220,4
207,486,4
348,332,0
353,39,0
377,77,4
282,369,0
83,418,0
275,299,4
14,467,4
133,328,0
342,264,0
319,503,0
406,327,0
505,254,0
54,291,1
428,58,1
492,46,0
359,340,0
224,172,0
213,226,0
438,39,0
143,192,0
148,278,0
505,336,0
268,218,0
317,136,0
205,315,4
294,175,0
352,446,0
232,235,0
227,426,0
239,479,0
151,240,0
269,455,0
423,84,0
506,38,4
395,251,0
235,170,0
188,194,0
289,235,0
180,455,0
175,11,0
336,88,0
49,215,0
225,358,0
179,161,4
326,371,0
155,122,0
80,222,0
254,324,4
503,398,0
401,126,0
255,247,0
469,385,1
348,343,0
152,352,0
439,276,1
402,384,0
226,192,0
287,173,0
178,77,0
298,147,0
68,433,0
13,373,1
185,420,0
487,355,0
119,373,0
498,3,4
279,237,0
169,149,0
362,179,0
381,445,0
487,416,0
483,316,0
241,357,4
308,481,0
196,285,0
165,284,0
53,429,0
46,278,1
196,101,0
213,245,0
205,22,1
132,337,0
490,367,0
438,376,0
318,69,0
268,140,0
146,509,4
179,443,0
295,283,0
84,508,0
262,299,4
254,104,4
84,262,0
175,198,0
224,245,0
297,274,0
28,305,1
379,463,4
159,203,0
312,203,4
228,266,0
84,294,0
112,401,4
245,185,0
137,395,4
164,40,0
384,92,0
285,153,0
260,466,4
288,205,0
366,230,0
383,64,4
236,215,0
184,217,0
59,240,0
187,23,0
359,370,4
285,481,0
259,405,0
98,426,0
401,502,0
284,108,0
307,444,4
63,479,0
100,328,0
14,103,1
344,251,4
303,249,0
333,261,0
139,292,0
267,205,0
208,506,0
282,252,0
234,82,4
101,347,1
147,208,0
233,419,4
356,128,4
105,11,0
330,112,4
117,506,0
372,358,0
126,346,0
301,305,4
438,357,0
293,72,0
422,476,0
288,413,4
114,124,4
127,285,0
106,32,0
324,94,4
465,154,0
143,330,0
271,413,0
102,449,4
341,4,0
307,265,0
110,387,4
326,203,4
172,452,0
284,405,0
111,420,0
221,389,0
281,438,0
63,508,0
455,464,4
202,254,0
213,78,0
242,489,0
388,125,0
383,302,0
39,423,0
251,454,0
271,268,0
403,52,1
243,62,4
378,474,4
234,310,4
12,317,1
343,112,0
191,224,0
238,287,0
87,251,0
195,300,0
104,367,0
141,305,0
221,431,0
175,311,0
146,224,0
52,488,0
123,414,0
94,257,0
304,215,0
495,303,0
412,283,0
164,242,0
388,30,1
154,294,0
127,440,0
298,58,0
296,133,0
83,471,4
92,505,0
229,455,0
262,398,0
249,84,4
203,479,4
273,404,0
213,94,0
83,438,0
463,460,4
243,503,4
248,412,4
258,220,0
182,498,0
396,153,0
138,365,0
238,301,0
506,103,4
280,63,0
191,251,0
248,222,0
239,72,4
116,7,0
311,124,0
262,496,0
486,113,0
341,48,0
325,278,0
87,401,0
316,222,0
26,213,4
187,312,4
257,508,0
281,357,0
327,268,0
344,411,0
127,368,0
400,175,0
303,499,0
168,212,0
143,487,4
267,70,0
288,502,0
120,498,4
393,393,0
139,316,0
486,134,0
48,502,0
113,342,0
113,320,0
77,21,4
162,225,0
